Roman Urdu,English
allah panah day asay khoni janvar say ameen,god forbade us from this bloddy animal
allah sb ko asi nagehaani afat se mhfooz rkhe ameeeen,may allah saves everyone from mishap
allah sb muskilaateh asaana karay,god will ease all difficulties
allah sub ko hidayat day,may allah guide us all
allah tallah hama b aisa hi banda da,may allah bless us with same person like this
allah to 70 maon jitna piar karta hay,allah love you more than 70 mothers
allah unhe jannat me aalaw maqam atta farmaye,allah bless him the highest rank in jannah
allah unhe mushkilat se bachaye,oh allah protect them from calamities
allahhoakbar,allah ho akbar
allha apna rehm kre,may god have mercy
allha zindagi kary,may allah give him life
although ham nay apny kharchay kam kr liay han hahahahahahah,although we have reduced our expenses lol
alu cheelo,peel the potato
always welcome intizaar rehta hai video ka,always welcome i wait for the video
amaaa teri aqal ko salam,mother solute to your intellect
aman ullah khankuty k bchy kon gali dy rha hai foj ko kun phtt rhi hai teri,aman ullah son of a bitch who is cursing the army got scared
amazing phone mein bohat taizi se processor aur internet acha auto fox kamera hai jo mein usay mein kharidata hon,purchased amazing phone with fast processor auto focus camera and internet works well
ameen ameen,ameen ameen
ameen jiti raho,ameen long live
america ke mehange tareen areas mein in ke 1 2 nahi pore 4 ghar hain,he has not 12 but 4 houses in the expensive areas of america
and you say laro nahi,and dont fight with you
andar sy roughf hai wsy abki thek hai,its rough from inside otherwise its fine
andhere me teer mat chalao,dont shoot arrows in the dark
angelina ne baqaidah adakari sekhne ke leye aik institue mein dakhla le liya jahan wo do sal tak adakari ki tarbiyat lene ke sath mukhtalif stage dramon mein bhi hissa leti rahein,angelina took admission in institute for learning acting and worked in different stage dramas
anna molka ahmed ke baad ane wale fankaron ne in shah paron se behad istefadah kiya aur art ki taraqi ka bais banne,artisit who came after anna molka ahmed greatly accept work and became the backbone of the progress
anna molka ahmed ki koshishon se 1958 mein ma fine arts ki classes ka ijra howa aur 1960 mein ba owners ka teen saala course bhi shuru howa,with the efforts of anna molka ahmed classes in ma fine arts were started in 1958 and a threeyear course of ba honors was also started in 1960
anti chaa gye ha,aunty is on a roll
antii alkhd bht bari jamhoriat h,aunty alone is a great democracy
anty ne kabhi pmln ka jalsa nahin dekha na p,aunty never saw a pmln rally that is why
anty zra holy,aunt slow
ao,come
ao hum b krey,come we should also do it
ao krte hain,come lets do it
ao logon ko stalk kartay hein,lets stalk people
ao shuru krain,come lets start
ao university chaltay hain,come lets go to university
aoo bai aoo,come buddy come
ap b shreef hain isi leye mn apko shareef lgi,you are innocent thats why you found me innocent
ap bahar kab jarahay hain,when are you going out
ap bahut hi ziyada khubsurt lug rahi hain g,you are looking very cute
ap bht beautiful lag rhi ho,you are looking very beautiful
ap bht bht bht hasen ho,you are very very beautiful
ap bohat inocent hain aur esy hi achi lagti hain plz kabi urwa mawra mat baniy ga i think ap k sab fans b mary bat se agree krin gay,you are very innocent and you look good this way please dont be like urwa mawra ever i think all your fans will agree with me
ap buhat meharbaan rahay hain,you have been very kind
ap buuuht pyri hai sanam,you are very beautiful sanam
ap dair sy kyun aye,why have you come late
ap esy krti hn,you do like this
ap humsha khusha rhain,stay happy always
ap is se zaida acha gaty o song esa slect kro ap jo bus cha jae,you sing better then him select a soul catcher song
ap is tasveer main piyary lag rahy hain,you are looking beautiful in this picture
ap k dost ki momsmajh to gaya ho ga,your firnds mother must have understood
ap k kitnay bachay hain,how many children have you
ap k liay kuch khoobsurat batain,some beautiful words for you
ap k liye mam d,for you maam
ap k shop kaha h,where is your shop
ap kamyab banna chahain gi,would you like to be successful
ap kamyab bnna chahain gy,would you like to be successful
ap ke walid fateh ali khan aur chacha mubarak ali khan apne waqt ke mashoor qawwal the,your father fateh ali khan and uncle mubarak ali khan were the famous qawal of their time
ap ki shop kder hai,where is your shop
ap ki shop kha ha,where is your shop
ap ki shop kha hy,where is your shop
ap ki shop ki location kia hy,what is the locatin of you shop
ap kia kehna chahengay,what would you have to say
ap kia krtay hain,what do you do
ap kia lena chahaingy,what would you like to have
ap kia talash kr rahy hain,what are you looking for
ap kider thin itna taim,where were you that much time
ap kis tarhan ki yaqeen dehani faraham kar sakty hain,what sort of assurance can you provide
ap kisko vote krengi,who will you vote for
ap kitnay bhai hain,how many brothers are you
ap kitni dair sy intezaar kar rhy thy,how long have you been waiting
ap ko bhe,you too
ap ko bhi eid mubarak,happy eid to you too
ap ko kis ny kha mjy diet plans chey,who said i need diet plans
ap log shaadi jaldi ker lo na,marry soon
ap logo ne jo jali note chapny wala program bnaya he us ki waja se aik ghareeb bab ka beta police ki hirasat me he,you guys have created a program of printing fake notes because of it son of a poor father is arrested by police
ap mere ham naam hain,you are my namesake
ap muslime ho,are you a muslim
ap nay mangvay hain,have you ordered
ap ny khud hi frmaya,you said it yourself
ap sb ko juma mubark ho,jummah mubarak to all
ap shadi shuda hain,are you married
ap shuruwat kijye p,you start
ap tips poch rhi thi mjsy ye lyn,you were asking for tips here they are
ap to eid k chand hain,your visits are few or far between
ap to mere hi area me rehty han,you live somewhere in aour area
ap zaror jetoo gyy in sha allah,you will win inshallah
apk k juty aram sy pathan ki shop may k mil jati hai aur aap ny cheat kya hai,your shoes are easily found at a pathans shop you have cheated
apka crush hai yeh,its your crush
apka ka kia qarobar ha,what is your business
apka khasam ha ye,he is your husband
apka naam kia ha,what is your name
apka number save nahi hai,your contact is not saved
apka r srf apka,yours and only yours
apka vote apki marzi,your vote your wish
apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr,you posion wont effect me i have antipoison for your poison
apkay doray k akhrajat kon uthayga,who will bear the expenses of your visit
apki bat ho ri,talking about you
apki bt chal rahi hy,talking about you
apki buhat meharbani hogi,it would be very kind of you
apki family kesi hai,hows your family
apki khush mezbani ka shukriya,thanks for your courtesy
apki shop kaha hai,where is you shop
apki shop kahan ha,where is your shop
apki shop kahan hy,where is your shop
apki typing bhe,your typing as well
apki umar kia ha,how old are you
apko b bahot bahot mubarak,congratulations to you too
apko bhi eid mubarak,happy eid to you as well
apko buhat khush amdeed,you are much welcomed
apko call karny keliye konsa waqat behtar rahy ga,when is a good time to call you
apko piyas lagi ha,are you thirsty
apko shadi ki mubarark baad,congratulations on tying the knot
apky anay ka shukriya,thank you for your visit
apky kia shoq hain,what is your hobby
apky pas yahan par kitny inhesar karny walay hain,how many dependents have you here
apna ghussa mat kho,dont lose your temper
apna kam karo,attend to your work
apna kam kro,do your work
apna khayal rakhna,take care
apna sabaq tayar kro,prepare your lesson
apna sons sa milna jata ha,goes there to meet his sons
apna title apny pas rakhyn,keep your title to yourself
apnay coat ka button bandho,button up your coat
apnay jootay pehno,put on your shoes
apnay jootay utaro,take off your shoes
apni almari ko tarteeb se rkho,tidy up your closet
apni baat karo bh,talk about yourself
apni had me raho,be in your limit
apni kitabon par kuch mat likho,dont write anything on your books
apni laraiyan khatam kro,patch up your disputes
apni madad kijiye,help yourself
apni nazrain nichy kro,lower your gaze
apni pichy darwaza band krna,shut the door after you
apni zaban ko smbhal kr rkho,keep check on your language
apni zaban smbhalo,mind your language
apny dimagh me isy zehan nasheen krlo,bear it in your mind
apny iqbal town waly dost ko tag kr,tag your friend from iqbal town
apny kam sy kam rkho,mind your own business
apny khany ko achi tarha chabao,chew your food properly
apny kitny rozy rakh liye,how many fasts have you observed
apny mera number kesy lia,how did you get my number
apny pas hi rkho fresh take,keep the fresh take with yourselve
apny tareeqay sahi kro,mend your ways
app k dil ki bhi,your hearts too
app kitna kamati he,how much do you earn
app ko chahia fresh take d,you need a fresh take
app sa koi nhi pori doniya mien,no one is like you in this entire world
apsay ksi ny pocha,who asked you
aqal wali bat kro,talk sense
araamdeh diapers har maa ko pasand hain,every mother loves relaxing diapers
aram da aur pursukoon aur khobsorat check design munasib qeemat,it iscomfortable and relaxing beautiful check design at reasonable price
aram da aur pursukoon istemaal ke liye naram roi ka samaan acha naazuk kmfrt,comfortable and relaxing soft cotton for use and comfortable
aram sy beth jaen apna ghar smjhain,make yourself at home
aram sy pakro,hold firmly
aram sy pocket may a jta hai aur quality bhi achi hai,it easily fits in pocket and the quality is also good
are wha kaya bat hai,wow excellent
array check kr lahori bakra,check out this lahori goat
arsa hi hogaya ha yr,its been a while buddy
arsaaaaa ho gaya nahi khaya,its been a while since i ate it
ary wah u pamist,hey hey pamist
ary wale zardari ko dekha rahe hai chutye k bache,ary channel is only covering zardari son of
aryyyy yr kahan se laty ho ap log,where do you bring this buddy
asal cheez packing bhi bohat achi thi,orignal product and packing is also great
asal masla yehi hei k wo iss umar mein bhi shadi kr sakta hei,the real issue is he still can marry at this age
asal mein se beqaar ur nakli hai ur size bhi chota hai,really this product is useless and fake and size is also small
asal shehad hai aur qeemat bhi munasib hai,pure honey and price is also reasonable
asan hai istemaal karne ka lia lakin dehan se,easy to use but be careful
astaghfirullah,astaghfirullah
audio achi h aur pice bhi reasonable h,audio is good and the price is reasonable
audio achi hai base k sath,audio is good with bass
audio bas wali h aur case ki quality bhi achi h,audio has bass and case quality is also great
audio clear h aur mughy ye bhot pasand h case bhi acha h,audio is clear and i really like it
